RxnID,minFlux,maxFlux
ALATA_D2,0,107.470068556283
SHCHD2,2.10250320608847e-05,2.10250320608847e-05
CPPPGO,0,1.23513541078494
GTHOr,0,76.7228208978931
DHORD5,0,14.8657465989465
GLYCTO2,0,121.825991086303
GLYCTO3,0,121.825991086305
GLYCTO4,0,121.825991086314
PFK_3,0,231.136998461585
TRPS2,0,96.722914468862
G3PD5,0,121.825991086314
LEUTAi,0.0424772588314907,7.21489818232991
SHK3Dr,0.035932911183977,5.30951830272011
G5SD,0.0208416522969456,161.225699100395
ALATA_L2,0,107.470068556273
MAN6PI,0,-0
APRAUR,4.20500641442285e-05,2.55468018025188
DB4PS,8.4100128288457e-05,5.10936036050376
RBFK,2.10250320833438e-05,221.219059004594
ACP1_FMN,0,221.219037979567
RBFSb,4.20500641442285e-05,2.55468018025188
DMATT,2.621057808487e-05,2.62105780848698e-05
GRTT,2.621057808487e-05,2.62105780848698e-05
UPP3S,4.20500641217693e-05,1.23515643581699
UPPDC1,2.10250320608847e-05,1.23513541078493
TMDPP,0,9.79907920223991
HCO3E,0.0495572262426549,221.335701828322
IMPC,-17.0539757748484,-0.051151357372305
IMPD,0,96.7458466504598
ECOAH4,-17.8814318278837,2.31033096485965
GLUTRS,0.000336400512974155,9.88125148653594
TMPPP,2.10250320608847e-05,2.10250320608847e-05
URIK1,0,221.219037979572
URIK2,0,221.219037979555
CYTDK1,0,221.219037979551
CYTDK2,0,221.219037979549
XPPT,0,110.609518989781
HXPRT,0,110.609518989763
NDPK5,-72.2458211398019,110.612066224272
DHORTS,-14.8657465989467,-0.0311882308545819
OMPDC,0.0311882308546204,14.8657465989428
CS,0.101371956374744,239.897787656404
ICDHyr,0.101371956374805,55.5812215041926
ACALD,-221.219037979567,483.614572344259
ACS,0,221.219037979545
PPA,0.294116345020584,221.549174635749
PPCK,0,221.219037979557
ME1,0,124.239426332748
ALAR,0.00392988962494201,107.634291844673
ALATA_L,-1000,999.905245366048
XYLK,0,-0
RBK,0,221.219037979621
GLYK,0,221.219037979557
PPM,-1000,110.610720763635
ASPTA,-483.890615270046,-0.27604292575586
FBP,0,221.21903797956
GLGC,0,221.219037979571
PYK,0,230.753420852651
A5PISO,0.00366872667063944,0.762594611205486
IPPMIb,-7.21489818232988,-0.0424772588314681
ACHBS,0.0273918454691335,6.95315330141282
ACLS,0.0824376421882868,9.57536378136366
