RxnID,minFlux,maxFlux
ALATA_D2,0,35.2672981811936
SHCHD2,7.00087253112823e-06,7.00087253112823e-06
CPPPGO,0,0.428928525864844
GTHOr,0,24.4263790948861
DHORD5,0,5.0294070176474
GLYCTO2,0,47.2782350910394
GLYCTO3,0,47.2782350910422
GLYCTO4,0,47.2782350910536
PFK_3,0,74.825999999993
TRPS2,0,31.7405193381292
G3PD5,0,47.2782350910423
LEUTAi,0.014143991490232,2.65918726966635
SHK3Dr,0.0119648678842625,1.74641947652362
G5SD,0.00693981110930508,52.9078053746619
ALATA_L2,0,35.2672981811846
MAN6PI,0,-0
APRAUR,1.40017450599335e-05,0.815574784570793
DB4PS,2.8003490119867e-05,1.63114956914159
RBFK,7.00087252880525e-06,74.8260070008767
ACP1_FMN,0,74.8260000000076
RBFSb,1.40017450599335e-05,0.815574784570793
DMATT,8.72754512849174e-06,8.72754512849174e-06
GRTT,8.72754512849174e-06,8.72754512849174e-06
UPP3S,1.40017450622565e-05,0.428935526737367
UPPDC1,7.00087253112823e-06,0.428928525864836
TMDPP,0,3.27221848846627
HCO3E,0.0165014646788677,74.8648464917493
IMPC,-5.68830996080018,-0.0170322752291825
IMPD,0,31.7481552494307
ECOAH4,-6.04987998257372,0.782464138436977
GLUTRS,0.000112013960498052,3.43148421389894
TMPPP,7.00087253112823e-06,7.00087253112823e-06
URIK1,0,74.826000000003
URIK2,0,74.8260000000007
CYTDK1,0,74.8259999999859
CYTDK2,0,74.8260000000357
XPPT,0,37.4129999999759
HXPRT,0,37.4130000000007
NDPK5,-23.5059894509977,37.4138481729662
DHORTS,-5.02940701764453,-0.0103849938517245
OMPDC,0.0103849938517245,5.02940701764022
CS,0.0337546284236704,84.4257700850115
ICDHyr,0.0337546284235941,22.0448940081691
ACALD,-74.8259999999946,158.702596690639
ACS,0,74.8259999999781
PPA,0.0979342640164958,74.9359282341963
PPCK,0,74.9810402464772
ME1,0,42.0343094492383
ALAR,0.00130856667647095,35.3219809186644
ALATA_L,-1000,999.968448794175
XYLK,0,-0
RBK,0,74.8260000000018
GLYK,0,74.8260000000067
PPM,-1000,37.4134001642326
ASPTA,-158.794512904107,-0.0919162135252842
FBP,0,74.853317352274
GLGC,0,74.8260000000076
PYK,0,74.8259999999843
A5PISO,0.00122160516559688,0.258318813468962
IPPMIb,-2.65918726966635,-0.0141439914901866
ACHBS,0.00912088114617109,2.32594711020696
ACLS,0.0274499188897011,3.33375401661167
PSCVT,0.0119648678842625,1.74641947652362
ANS,0.00178453182639875,1.61964399128535
ANPRT,0.00178453182639875,1.61964399128535
CHORM,0.0101523325677416,1.74460694120789
CHORS,0.0119648678842625,1.74641947652362
IGPS,0.00178453182639875,1.61964399128535
ECOAH6,-8.94867030667686,0.137277907346807
ENO,-34.8665676087258,17.2111060469742
FBA,-74.8533173523375,74.8259999999975
MGSA,0,24.9419999999873
PPS,0,74.9810402465197
PGI,-74.8260000000061,74.8260000000066
PGK,0.0755122064358202,25.0175273749922
EDA,0,24.9420000000021
PGL,0,45.0350630020768
RPE,-15.6944629877964,29.9990243431777
TALA,-74.832200062692,15.0054876046613
TKT1,-7.84125606082168,15.0054876046692
G6PDA,0,74.8260000000012
ALCD2x,-6.9605581395345,-0
ALDD2y,0,74.8259999999074
RMI,0,-0
FMNAT,7.00087252648419e-06,0.537691085837089
NADDP,0,37.4129999999998
NMNAT,0,37.4129999999847
HMPK1,0,-0
NDPK6,0,15.0862277813791
NDPK8,-23.5059894509804,37.4138214566383
PYNP2r,-74.8260000000023,37.4138214566492
DURIPP,-3.27303994510631,15.0854063247313
PTRCTA,0,15.0251613061303
CYSDS,0,22.6717995272397
TRPAS2,-1.35000074804483,31.7387348063002
NDP3,0,74.8260000000272
CDPPH,0,74.8260000000093
NDP7,0,74.8259999999975
PMDPHT,1.40017450599335e-05,0.815574784570793
ILETA,-2.32594711020696,-0.00912088114614562
VALTA,-1000,999.968448794175
ORPT,-5.02940701764022,-0.0103849938517245
RBFSa,2.8003490119867e-05,1.63114956914159
DHAD2,0.00912088114617109,2.32594711020696
G1PP,0,74.8259999999937
PFL,0,49.8108622266517
FRD2,0,47.288691600534
FRD3,0,47.2782350910442
POX,0,37.4341564354555
PTAr,-74.8442771747989,74.8077228252378
ACKr,-74.8077228252378,74.8442771747989
MOAT,0.00061080258280552,0.129159406734548
UDCPDPS,1.72667259736351e-06,1.72667259736351e-06
USHD,0.00061080258280552,0.129159406734548
LPADSS,0.00061080258280552,0.129159406734548
TDSK,0.00061080258280552,0.129159406734548
NTPP1,0,37.4130000000055
NTPP2,0,37.4130000000321
NTPTP1,0,15.0859335282519
