RxnID,minFlux,maxFlux
ALATA_D2,0,24.3000500549259
SHCHD2,4.68521226403627e-06,4.68521226403627e-06
CPPPGO,0,0.297151590651834
GTHOr,0,16.8305206570595
DHORD5,0,3.47838049099001
GLYCTO2,0,35.671777779667
GLYCTO3,0,35.671777779659
GLYCTO4,0,35.6717777796626
PFK_3,0,50.0759999999861
TRPS2,0,21.8700122403354
G3PD5,0,35.6717725088031
LEUTAi,0.00946562047770639,1.77317628502104
SHK3Dr,0.00800727987829459,1.16108349641587
G5SD,0.00464434796867863,36.4546647485139
ALATA_L2,0,24.3000500549184
MAN6PI,0,-0
APRAUR,9.37042453907143e-06,0.545809249621271
DB4PS,1.87408490781429e-05,1.09161849924228
RBFK,4.68521227503589e-06,50.076004685193
ACP1_FMN,0,50.0759999999883
RBFSb,9.37042453907143e-06,0.545809249621271
DMATT,5.84075788969544e-06,5.84075788969548e-06
GRTT,5.84075788969544e-06,5.84075788969548e-06
UPP3S,9.37042452807254e-06,0.297156275863974
UPPDC1,4.68521226403627e-06,0.29715159065171
TMDPP,0,2.22030581120247
HCO3E,0.0110433184353269,50.1019973394176
IMPC,-3.81488464972282,-0.0113985541708562
IMPD,0,21.8751224412684
ECOAH4,-4.13354212419538,0.523650525169802
GLUTRS,7.49633962245803e-05,2.37725020691179
TMPPP,4.68521226403627e-06,4.68521226403627e-06
URIK1,0,50.0760000000029
URIK2,0,50.0760000000041
CYTDK1,0,50.0760000000202
CYTDK2,0,50.0760000000452
XPPT,0,25.03799999999
HXPRT,0,25.0379999999993
NDPK5,-15.2586978202253,25.0385676250084
DHORTS,-3.47838049098842,-0.00694997664072591
OMPDC,0.00694997664072591,3.4783804909978
CS,0.022589698406091,59.8081530855379
ICDHyr,0.0225896984061364,17.8101209787082
ACALD,-50.0759999999997,109.350061201392
ACS,0,50.0759999999708
PPA,0.0655408040639799,50.149567560159
PPCK,0,50.1797579903578
ME1,0,29.7845679306819
ALAR,0.000875735504905606,24.336645526571
ALATA_L,-1000,999.978884903872
XYLK,0,-0
RBK,0,50.0759999999979
GLYK,0,50.0759999999419
PPM,-1000,25.0382678029392
ASPTA,-109.411574530123,-0.0615133283698176
FBP,0,50.0942816632535
GLGC,0,50.0759999999957
PYK,0,50.0760000000139
A5PISO,0.000817538025216891,0.172875376249951
IPPMIb,-1.77317628502104,-0.00946562047772659
ACHBS,0.0061039911832206,1.57948616674741
ACLS,0.0183703811286229,2.20537160516256
PSCVT,0.00800727987829459,1.16108349641587
ANS,0.00119426690907899,1.08391859123183
ANPRT,0.00119426690907899,1.08391859123183
CHORM,0.00679427212014846,1.15987048865835
CHORS,0.00800727987829459,1.16108349641587
IGPS,0.00119426690907899,1.08391859123183
ECOAH6,-5.98874207197513,0.0918708535575485
ENO,-23.3645789145612,14.0541168365028
FBA,-50.094281663237,50.0759999999994
MGSA,0,16.6920000000036
PPS,0,50.1797579903347
PGI,-50.0759999999806,50.0759999999642
PGK,0.0505352317308382,16.7425453830212
EDA,0,16.6919999999974
PGL,0,36.0307271522511
RPE,-10.1883951943094,24.0041882902906
TALA,-50.0801492842355,12.0060930998706
TKT1,-5.09019864242713,12.0060930998712
G6PDA,0,50.0760000000214
ALCD2x,-4.65823255813845,-0
ALDD2y,0,50.0760000000084
RMI,0,-0
FMNAT,4.68521228603404e-06,0.359840413951854
NADDP,0,25.0379999999959
NMNAT,0,25.0379999999875
HMPK1,0,-0
NDPK6,0,9.79309253976149
NDPK8,-15.2586978202334,25.0385497455786
PYNP2r,-50.0759999999833,25.0385497455711
DURIPP,-2.22085555678072,9.7925427941851
PTRCTA,0,12.3144447325207
CYSDS,0,15.6214373145212
TRPAS2,-0.903464537179619,21.8688179734275
NDP3,0,50.0760000000026
CDPPH,0,50.0759999999987
NDP7,0,50.0760000000022
PMDPHT,9.37042453907143e-06,0.545809249621271
ILETA,-1.57948616674741,-0.00610399118318128
VALTA,-1000,999.978884903872
ORPT,-3.4783804909978,-0.00694997664072591
RBFSa,1.87408490781429e-05,1.09161849924228
DHAD2,0.0061039911832206,1.57948616674741
G1PP,0,50.0759999999946
PFL,0,38.0512573755683
FRD2,0,38.1855039770699
FRD3,0,38.1785061398284
POX,0,24.3000136003762
PTAr,-60.0882316815633,40.0637683184481
ACKr,-40.0637683184481,60.0882316815633
MOAT,0.000408769012596815,0.086437688124973
UDCPDPS,1.15554562565917e-06,1.15554562565917e-06
USHD,0.000408769012596815,0.086437688124973
LPADSS,0.000408769012596815,0.086437688124973
TDSK,0.000408769012596815,0.086437688124973
NTPP1,0,25.037999999999
NTPP2,0,25.0379999999992
NTPTP1,0,9.79289561597045
NTPTP2,0,16.6919999999972
IPMD,0.00946562047770639,1.77317628502104
AIRC3,-3.81289421188116,-0.00940811632528948
ADSL2r,0.00940811632528948,3.81289421188116
PUNP5,-50.075999999994,25.0379999999964
PUNP6,0,21.8702377944321
PUNP7,-50.0760000000292,25.0379999999922
RNDR1,0,15.2592475658015
RNDR3,0,9.79356170289199
RNDR4,0,9.7930925397419
