RxnID,MaxFlux
12DGR120tipp,24.7288096392163
12DGR140tipp,24.7288135814411
12DGR141tipp,24.7288100149822
12DGR160tipp,24.7288147322077
12DGR161tipp,24.7288090360888
12DGR180tipp,24.7288102548078
12DGR181tipp,24.7288082462038
12PPDRtex,3.2254969578504
12PPDRtpp,3.22549694171525
12PPDStex,3.22549676517344
12PPDStpp,3.22549696903289
2AGPA120tipp,7.67445978285422
2AGPA140tipp,7.67445851825085
2AGPA141tipp,7.67445839891559
2AGPA160tipp,7.6744586107637
2AGPA161tipp,7.67445946856642
2AGPA180tipp,7.67445819753766
2AGPA181tipp,7.67445939244034
2AGPE120tipp,11.1279624877603
2AGPE140tipp,11.1279649143388
2AGPE141tipp,11.1279640916404
2AGPE160tipp,11.1279641759341
2AGPE161tipp,11.1279622560752
2AGPE180tipp,11.1279649113471
2AGPE181tipp,11.1279632271931
2AGPEAT120,11.1279666060709
2AGPEAT140,11.1279634828121
2AGPEAT141,11.1279638212908
2AGPEAT160,11.1279652538241
2AGPEAT161,11.1279649513772
2AGPEAT180,11.1279622134983
2AGPEAT181,11.1279640792062
2AGPG120tipp,11.127965992901
2AGPG140tipp,11.1279641651998
2AGPG141tipp,11.1279644881959
2AGPG160tipp,11.1279630266172
2AGPG161tipp,11.127965025186
2AGPG180tipp,11.1279657227132
2AGPG181tipp,11.1279650652654
2AGPGAT120,11.127966422567
2AGPGAT140,11.1279656009489
2AGPGAT141,11.1279645578297
2AGPGAT160,11.1279662224409
2AGPGAT161,11.1279648030804
2AGPGAT180,11.1279628940943
2AGPGAT181,11.1279648403014
2DDARAA,0.000140549858656414
2MAHMP,55.6398194677154
3AMACHYD,2.88760999629274
3HAD100,4.58886597938114
3HAD120,6.64358208955171
3HAD121,4.14632478632478
3HAD140,6.64358208955238
3HAD141,4.14632478632479
3HAD160,6.64358208955227
3HAD161,6.64358208955222
3HAD180,6.64358208955264
3HAD181,6.64358208955219
3HAD40,2.53989528795811
3HAD60,2.53989528795799
3HAD80,2.53989528795795
3HPPtex,2.88761033935854
3HPPtpp,2.88761023559595
3OAR100,4.58886597938113
3OAR120,6.64358208955309
3OAR121,4.14632478632477
3OAR140,6.64358208955264
3OAR141,4.14632478632477
3OAR160,6.64358208955218
3OAR161,6.64358208955222
3OAR180,6.64358208955218
3OAR181,6.6435820895522
3OAR40,2.53989528795807
3OAR60,2.53989528795807
3OAR80,2.53989528795807
3OAS100,4.58886597938145
3OAS120,6.64358208955221
3OAS121,4.14632478632477
3OAS140,6.64358208955222
3OAS141,4.14632478632583
3OAS160,6.64358208955397
3OAS161,6.64358208955219
3OAS180,6.64358208955222
3OAS181,6.64356132742012
3OAS60,2.53989528795811
3OAS80,2.53989528795843
3PEPTabcpp,4.19924528301859
3PEPTtex,0.767592548773536
4ABZGLUH,1.0481597491692
4ABZGLUtex,1.04815976763497
4ABZGLUtr,1.04815977637481
4HTHRA,0.000140556367909994
4HTHRK,0.000140556367921093
4PCP,4.45118585784706
4PCPpp,4.04653336429973
4PEPTabcpp,4.1214814814815
4PEPTtex,0.660924370681779
5DGLCNR,121.279632238398
5DGLCNt2rpp,2.31832598655628
5DGLCNtex,2.31832638253837
5DKGR,121.279641188643
5DOAN,0.83930795847757
5MTRtex,0.63193905034545
5MTRtpp,0.631938995668347
A5PISO,0.191174763000845
AACPS1,27.8199108360512
AACPS2,27.8199119433611
AACPS3,27.8199157481687
AACPS4,27.8199110165397
